item_id,jurisdiction_id,state,permit_type,label,basis,status,amount_usd,minimum_usd,unit,conditions,unavailable_reason,source_url,document_sha256,retrieved_at,effective_date,adopting_instrument,page,line,matched_text
phoenix-az/building_permit/valuation_table_a,phoenix-az,AZ,building_permit,Table A: Building Safety valuation-based permit fee,valuation_tiered,published,,,,Permit fees are based on the valuation (building square footage times standard rate for occupancy) of each building or building addition.,,https://www.phoenix.gov/content/dam/phoenix/pddsite/documents/impact-fees/fee-schedule.pdf,4193e742000369ae3b6814e56c7eb2563cf18075240aeb894f335d684ff9436d,2026-07-31T17:03:24+00:00,2026-01-20,Ordinance G-7465,35,18,"TABLE A: BUILDING SAFETY VALUATION-BASED PERMIT FEE $1 - $1,000 $98 Minimum for Residential Water Heaters and Fences* $1 - $1,000 $195 Base fee only* $1,001 - $10,000 $195 on first $1,000, plus $12 for each additional $1,000, or fraction thereof, to and including $10,000 $10,001 - $50,000 $303 on first $10,000 plus $10 for each additional $1,000, or fraction thereof, to and including $50,000 $50,001 - $200,000 $703 on first $50,000 plus $9 for each additional $1,000, or fraction thereof, to and including $200,000 $200,001 - $1,000,000 $2,053 on first $200,000 plus $9 for each additional $1,000, or fraction thereof, to and including $1,000,000 $1,000,001 - $10,000,000 $9,253 on first $1,000,000 plus $5 for each additional $1,000, or fraction thereof, to and including $10,000,000 Over $10,000,000 $54,253 on first $10,000,000 plus $5 for each additional $1,000, or fraction thereof, on the total amount of the project valuation"
phoenix-az/swimming_pool/minimum_permit_fee,phoenix-az,AZ,swimming_pool,Swimming pool minimum permit fee,flat,published,234.0,234.0,,Minimum; valuation-based fee applies above it.,,https://www.phoenix.gov/content/dam/phoenix/pddsite/documents/impact-fees/fee-schedule.pdf,4193e742000369ae3b6814e56c7eb2563cf18075240aeb894f335d684ff9436d,2026-07-31T17:03:24+00:00,2026-01-20,Ordinance G-7465,35,46,"Swimming pools are subject to a minimum permit fee of $234. A $30 aquatics program surcharge is also added to every swimming pool permit in accordance to Ordinance G-3114. * Permits with project valuations of $1 - $1,000 include a maximum of two inspections, including"
phoenix-az/residential_solar_pv/fixed_option_a,phoenix-az,AZ,residential_solar_pv,Residential solar PV fixed fee — Option A (Over the Counter Review),option,published,780.0,,,Plan Review and 3-inspections The firms desiring to use these fixed-fee options will make an application through a process developed by the Planning & Development Department. The Department will determine the firms that qualify for the options noted herein.,,https://www.phoenix.gov/content/dam/phoenix/pddsite/documents/impact-fees/fee-schedule.pdf,4193e742000369ae3b6814e56c7eb2563cf18075240aeb894f335d684ff9436d,2026-07-31T17:03:24+00:00,2026-01-20,Ordinance G-7465,42,17,1) Option A – Over the Counter Review ……………… $780 Plan Review and 3-inspections
phoenix-az/residential_solar_pv/fixed_option_b,phoenix-az,AZ,residential_solar_pv,Residential solar PV fixed fee — Option B (Over the Counter Review),option,published,585.0,,,Plan Review and 2-inspections The firms desiring to use these fixed-fee options will make an application through a process developed by the Planning & Development Department. The Department will determine the firms that qualify for the options noted herein.,,https://www.phoenix.gov/content/dam/phoenix/pddsite/documents/impact-fees/fee-schedule.pdf,4193e742000369ae3b6814e56c7eb2563cf18075240aeb894f335d684ff9436d,2026-07-31T17:03:24+00:00,2026-01-20,Ordinance G-7465,42,20,2) Option B – Over the Counter Review ……………… $585 Plan Review and 2-inspections
phoenix-az/residential_solar_pv/fixed_option_c,phoenix-az,AZ,residential_solar_pv,Residential solar PV fixed fee — Option C (No Plan Review),option,published,488.0,,,Administrative Fee and 2-inspections The firms desiring to use these fixed-fee options will make an application through a process developed by the Planning & Development Department. The Department will determine the firms that qualify for the options noted herein.,,https://www.phoenix.gov/content/dam/phoenix/pddsite/documents/impact-fees/fee-schedule.pdf,4193e742000369ae3b6814e56c7eb2563cf18075240aeb894f335d684ff9436d,2026-07-31T17:03:24+00:00,2026-01-20,Ordinance G-7465,42,23,3) Option C – No Plan Review ………………………… $488 Administrative Fee and 2- inspections
phoenix-az/residential_solar_pv/fixed_option_d,phoenix-az,AZ,residential_solar_pv,Residential solar PV fixed fee — Option D (Over the Counter Review),option,published,390.0,,,Plan Review and 1-inspection The firms desiring to use these fixed-fee options will make an application through a process developed by the Planning & Development Department. The Department will determine the firms that qualify for the options noted herein.,,https://www.phoenix.gov/content/dam/phoenix/pddsite/documents/impact-fees/fee-schedule.pdf,4193e742000369ae3b6814e56c7eb2563cf18075240aeb894f335d684ff9436d,2026-07-31T17:03:24+00:00,2026-01-20,Ordinance G-7465,42,27,4) Option D – Over the Counter Review ……………… $390 Plan Review and 1-inspection
phoenix-az/residential_solar_pv/fixed_option_e,phoenix-az,AZ,residential_solar_pv,Residential solar PV fixed fee — Option E (No Plan Review),option,published,293.0,,,Administrative Fee and 1-inspection The firms desiring to use these fixed-fee options will make an application through a process developed by the Planning & Development Department. The Department will determine the firms that qualify for the options noted herein.,,https://www.phoenix.gov/content/dam/phoenix/pddsite/documents/impact-fees/fee-schedule.pdf,4193e742000369ae3b6814e56c7eb2563cf18075240aeb894f335d684ff9436d,2026-07-31T17:03:24+00:00,2026-01-20,Ordinance G-7465,42,30,5) Option E – No Plan Review ………………………… $293 Administrative Fee and 1- inspection
phoenix-az/residential_solar_pv/non_standard,phoenix-az,AZ,residential_solar_pv,Non-standard residential solar PV permit,reference,published,,,,Priced from Table A on project valuation.,,https://www.phoenix.gov/content/dam/phoenix/pddsite/documents/impact-fees/fee-schedule.pdf,4193e742000369ae3b6814e56c7eb2563cf18075240aeb894f335d684ff9436d,2026-07-31T17:03:24+00:00,2026-01-20,Ordinance G-7465,42,12,a. Non-Standard Residential Solar Photovoltaic Permit ………… Based on Project Valuation
phoenix-az/residential_mechanical/flat_fee,phoenix-az,AZ,residential_mechanical,Residential mechanical permit — flat fee,reference,not_found_in_document,,,,,"Phoenix publishes no flat fee for this permit type; installation, repair and replacement work is priced from Table A on project valuation (phoenix-az/building_permit/valuation_table_a).",,,,,,,,
phoenix-az/residential_electrical/flat_fee,phoenix-az,AZ,residential_electrical,Residential electrical permit — flat fee,reference,not_found_in_document,,,,,"Phoenix publishes no flat fee for this permit type; installation, repair and replacement work is priced from Table A on project valuation (phoenix-az/building_permit/valuation_table_a).",,,,,,,,
